Degree,Regularization Parameter,Training RMS Error,Validation RMS Error,Testing RMS Error
1,0.0,25.34065560917276,26.520011592024858,27.88622950847163
1,0.01,25.340655771490344,26.518853559379373,27.8856551607558
1,0.1,25.340671792399213,26.508459493357872,27.880509797742448
1,1.0,25.34222676346128,26.40724687183394,27.831347098627173
1,10.0,25.46138177919578,25.61448355998715,27.519579760584207
1,100.0,28.813326589443108,24.403817124749505,29.122461794141266
2,0.0,25.13863836916695,26.3044927578855,27.308844579798926
2,0.01,25.138638697349347,26.303491952883217,27.308365699525968
2,0.1,25.138670761507868,26.29456389022124,27.304114600272516
2,1.0,25.14149818248933,26.212365826606945,27.266802385361004
2,10.0,25.261939800538435,25.731342372608,27.123928708753954
2,100.0,27.849555889730937,25.14181060245838,28.272657061641617
3,0.0,0.8957574924823923,1.1317829262798333,1.1530079939781843
3,0.01,0.8957577202107414,1.1317431876858088,1.1529425143454155
3,0.1,0.8957799636480204,1.1314003127592216,1.1523708655123563
3,1.0,0.8977348890896074,1.1292239881643098,1.1481747847822419
3,10.0,0.975076689784414,1.149068341795108,1.1632564648426216
3,100.0,1.3903320613082686,1.3591144069206664,1.4389496769580943
6,0.0,0.6262688631316641,1.8970496037897837,2.2572330622791
6,0.01,0.6262716052730909,1.8956058857764784,2.252131336347863
6,0.1,0.6265281775823531,1.8840738888064044,2.2083169806888514
6,1.0,0.6422200808359697,1.8542019859479266,1.9161251081606279
6,10.0,0.7950507284430445,2.088279284547448,1.6072893964238224
6,100.0,1.1784748592576422,2.6391616328396066,2.585780406760828
9,0.0,2857.9192569437964,3359.762520457305,3154.958076990053
9,0.01,0.14174418117526183,733.946698406989,691.7323409745292
9,0.1,0.3241229468548869,96.52342007908427,99.82646357131463
9,1.0,0.3913640250940394,77.96556421392596,89.14619143139808
9,10.0,0.5526243542785818,37.53151883204597,45.30809761010177
9,100.0,0.6908277197070435,21.17746279348285,28.48778843720074
