Number of clusters,Covariance,Regularization Parameter,Training RMS Error,Validation RMS Error,Testing RMS Error
5,5,0.0,35.27305671711686,36.40288034420656,39.326876084881526
5,5,0.01,35.662186225436955,37.19546513543796,40.7577726214915
5,5,0.1,36.017295202440756,37.4292235253153,41.29928419135792
5,5,1.0,35.51236231943779,34.34175305854063,38.17339020805038
5,5,10.0,47.8301140980692,38.06992906967226,45.26182249575467
5,5,100.0,65.21537335023429,52.06307312080938,60.16215004413563
5,10,0.0,28.086641100320687,29.910675884143718,31.78224584665549
5,10,0.01,28.126030759383404,29.780296966829333,31.619106946140697
5,10,0.1,28.28130063000053,29.45246013716977,31.702749114582737
5,10,1.0,31.664465858232873,28.417271034248472,33.07449947459229
5,10,10.0,53.79590455445708,42.48738658807793,49.947233385161624
5,10,100.0,67.41665927574473,53.99561387358413,61.70113194611191
5,15,0.0,26.530987411392672,27.961719209283228,29.47338414561432
5,15,0.01,26.581313277165744,27.90141995383585,29.571232977429336
5,15,0.1,27.105676996623163,27.007923795811376,29.54563631854167
5,15,1.0,44.11859711850143,34.59217960003597,41.576211128573554
5,15,10.0,63.118729596479646,50.335646733123404,57.88577336332129
5,15,100.0,68.66424442183059,55.106722756923205,62.63822634735253
5,20,0.0,25.896913692294007,27.217462710732438,28.440122213332714
5,20,0.01,26.010191503996015,27.036013598889223,28.735013280084754
5,20,0.1,29.32086116781267,26.022435217107944,30.201991039496146
5,20,1.0,53.10353749429676,41.86306862918671,49.09926306641026
5,20,10.0,66.86300751310185,53.57127698513675,61.071602705524015
5,20,100.0,69.04522152900222,55.41997500383426,63.084283104806914
10,5,0.0,9.78330966947725,14.81850565952374,15.410247446994545
10,5,0.01,24.348731251693412,30.847363306574298,34.43937750835357
10,5,0.1,29.235122306648496,33.097721260497806,36.74151312072621
10,5,1.0,33.38920101705498,33.76447618725334,37.482364349320704
10,5,10.0,42.443709045459784,34.39776995271633,41.35491507280176
