Degree,Regularization Parameter,Training RMS Error,Validation RMS Error,Testing RMS Error
1,0.0,0.7132388125602908,0.8431984056570665,0.8157017712782333
1,0.01,0.7132388154027859,0.8431894354963125,0.815708481539687
1,0.1,0.7132390938872316,0.843109591411569,0.8157689560033382
1,1.0,0.7132642571215435,0.8423929806087197,0.8163797445555903
1,10.0,0.7143933655434025,0.839899966183309,0.822181928658317
1,100.0,0.7219730405612095,0.867755644433051,0.8531034044543513
2,0.0,0.6348507873903484,1.58140872566446,1.0740438314323595
2,0.01,0.6348508841843324,1.5822473753553585,1.073927992308731
2,0.1,0.634859490178984,1.5894188152275095,1.0729546946698427
2,1.0,0.6352306635453286,1.6377971921040497,1.0670003734880822
2,10.0,0.6373638049928156,1.7776408466331461,1.050843666948901
2,100.0,0.6505217620918234,2.139520190507518,1.092314210524033
3,0.0,0.5346344081548311,10.881708998935132,8.56219925390175
3,0.01,0.5346365133165931,10.868980640402572,8.635539399205861
3,0.1,0.5347292758101916,10.795071750459826,9.053865256380291
3,1.0,0.5351524663729827,10.652539003945224,9.6819414959194
3,10.0,0.5353688633189694,10.403216446122864,9.48483445845547
3,100.0,0.5367352264034704,9.080942373869057,6.865230882337464
4,0.0,0.34291033067089033,3865.0746364551665,3637.0920246038136
4,0.01,0.33958254898009643,3753.440318664818,3639.906478679818
4,0.1,0.34460527361043497,3679.845891939713,3586.5292999652584
4,1.0,0.35370924258751574,3606.433953963049,3638.5860784075335
4,10.0,0.3518432453452051,3315.376731894359,3593.7375809109876
4,100.0,0.352938397246634,2816.284519467716,3381.128992741317
5,0.0,445.69821288781884,41745732.58651741,37600603.57861516
5,0.01,244.8571950710167,5427893.272839664,3760755.818208575
5,0.1,3694.2262907546415,77587418.80411182,112037815.5231862
5,1.0,124.34861022186163,1612817.7301045784,1747326.1624494854
5,10.0,207.6609630207114,1972404.0907689207,1017606.4569110888
5,100.0,108.65350232049836,610166.8471259185,275518.29633260483
8,0.0,8926.240948331066,48563374952428.98,2983763021786.6445
8,0.01,2757.1660969782056,56177367634054.39,1690592772356.1694
8,0.1,1737.9902570596018,10890043283944.918,1226002670527.3213
8,1.0,4087.7830692199514,6095162038486.705,607534969003.0613
8,10.0,2411.808318719124,6207735927193.185,572979406403.453
8,100.0,1702.9199885674304,925535598558.1013,155565816854.20398
