Degree,Regularization Parameter,Training RMS Error,Validation RMS Error,Testing RMS Error
1,0.0,0.7132388125602908,0.8431984056571238,0.8157017712782638
1,0.01,0.7132388157864165,0.8431834637448974,0.8157020425943902
1,0.1,0.7132391317872764,0.8430499074814807,0.8157045268149673
1,1.0,0.7132676288058013,0.8417992767484662,0.8157317704946153
1,10.0,0.7145372974385167,0.8341882417736342,0.8155639479295583
1,100.0,0.7230609411205514,0.8229563283889033,0.8015438182944004
2,0.0,0.6348507873903484,1.5814087257645613,1.0740438314573584
2,0.01,0.6348509828215858,1.582216672710689,1.0732683589429615
2,0.1,0.6348677939510518,1.588824138298941,1.066785787959241
2,1.0,0.6354868409680643,1.617833323726357,1.0273055313690764
2,10.0,0.6387527000055288,1.56516433513463,0.9300720134552922
2,100.0,0.6521423988661388,1.7835250548791337,0.9338932580198248
3,0.0,0.5346344081548156,10.881709206885262,8.562200055906015
3,0.01,0.5347664096381587,10.244605263862208,7.198084896428127
3,0.1,0.536411832887421,8.24180407802276,3.4485094436175334
3,1.0,0.5408557928715918,5.3701286416384715,1.1725634759876804
3,10.0,0.5547098161658264,3.690181767961702,1.0590949226547741
3,100.0,0.571215823525848,4.6332437179957076,1.2390519664054118
4,0.0,0.33436187389302935,3864.3328533252247,3628.2056214367553
4,0.01,0.3780249859683593,1664.1775028733646,2366.817404977715
4,0.1,0.40564108303907,949.9517183372409,1054.3808805206927
4,1.0,0.4321688326225169,338.5635233019478,164.14853486532036
4,10.0,0.4535220575185652,110.67612396133686,313.2475140802475
4,100.0,0.48414644825949604,61.81093195411084,347.274593093598
5,0.0,28.946213618936728,422931.6455586478,268060.95314818766
5,0.01,121.33607843224715,1135691.8179002034,856210.7578820065
5,0.1,2.7026619628401543,186857.3781343886,148532.3777303705
5,1.0,0.6216608098782871,44934.8558662808,60520.81125780494
5,10.0,0.2705737774022807,9941.526576470453,16778.37183956135
5,100.0,0.33074995934282375,5620.779601713838,5049.823098715798
8,0.0,1623.3474866190109,2109668380.4879494,2269890415.06818
8,0.01,3730.417421009037,194653728.4729811,15490863.69570186
8,0.1,360.6123000004721,296282136.1789938,29393537.967090704
8,1.0,2741.961806328706,183193047.6828956,58460107.9299095
8,10.0,818.0331683926202,171206751.80199784,44590205.690758444
8,100.0,2229.8901791026856,902040013.2098616,49619018.59118331
