Degree,Regularization Parameter,Training RMS Error,Validation RMS Error,Testing RMS Error
1,0.0,34.84461889973314,26.923506704529228,24.77752768165315
1,0.01,34.8446329562722,26.901459071191102,24.774967492641508
1,0.1,34.84600068807199,26.70557234741645,24.75386380853298
1,1.0,34.96180785767566,24.974703583930427,24.705090252342668
1,10.0,38.40146373372872,18.51863548277586,28.380813341589487
1,100.0,46.409768352840594,19.217719332023716,37.623095751867055
2,0.0,10.039444448294795,9.459611819531384,8.968137616711976
2,0.01,10.0394864536256,9.449160803332818,8.959793475933692
2,0.1,10.043488458389827,9.359041819241629,8.88878957024556
2,1.0,10.327011221720422,8.730717646467566,8.484396470274609
2,10.0,15.591587586831713,6.571490012404969,10.953334239290008
2,100.0,34.87417643125166,11.308982723268828,27.61601637746133
3,0.0,7.9183408111086715,7.166640592057171,8.262916632353793
3,0.01,7.91838717467487,7.155674908442037,8.256668749562944
3,0.1,7.922785030257795,7.062835667884529,8.203528096894138
3,1.0,8.22050699467116,6.551635258387573,7.884041504167032
3,10.0,12.753849994666187,7.069850451670339,8.206949647517567
3,100.0,31.640743995240168,14.084846350046561,23.44465817164301
6,0.0,8.137738952749841e-12,5.240587278888011e-12,7.29628359540576e-12
6,0.01,0.008911176361490317,0.0069976432683660885,0.010728313918229808
6,0.1,0.07978370222758825,0.061583812518449105,0.09717745953654508
6,1.0,0.5939625310009727,0.47979854563455626,0.724796823496922
6,10.0,3.365173339529465,3.0159546508422426,3.951488176227485
6,100.0,7.726473246420545,7.16772975350729,9.182624030820419
9,0.0,3.482634937011933e-09,3.4353616409394376e-09,3.575389114897175e-09
9,0.01,0.04611382957747843,0.15320013745611707,0.17341274958851505
9,0.1,0.1621612973233128,0.27741567660831357,0.31449718619252715
9,1.0,0.7596177640273116,0.9969996260880454,1.1237632333800165
9,10.0,2.2402063431328423,2.9023116504214026,2.5783750637417286
9,100.0,6.769011490230287,6.840559948703784,7.822739494648305
