Number of clusters,Covariance,Regularization Parameter,Training RMS Error,Validation RMS Error,Testing RMS Error
70,30,0.0,4.859899742667693,5.8608959445618645,4.884404217931532
70,30,0.01,4.547013744990608,5.758112708716514,4.375495630627831
70,30,0.1,4.97757756483918,5.6983469615363695,4.978150233799813
70,30,1.0,5.454794855079995,6.044205236056326,5.148351276375143
70,30,10.0,6.604194189204111,6.780482416804953,5.832494783849444
70,30,100.0,7.588407662073996,7.694546147069447,6.444553115311322
70,35,0.0,4.492456235759353,5.550179823059577,4.30894069032282
70,35,0.01,4.446133776019395,5.138832167123788,4.134448905164684
70,35,0.1,4.642193724894628,5.534977231811082,4.565306356331262
70,35,1.0,5.195979686468288,5.673017345811845,4.623865738817833
70,35,10.0,6.545906991908755,6.6943293202846945,5.666868867548948
70,35,100.0,7.467047695412502,7.594596244587566,6.411168826116465
70,40,0.0,4.17917763843965,7.960005312362287,10.644988673488996
70,40,0.01,4.266524831860775,4.944474740617166,4.237971480249248
70,40,0.1,4.492835358437615,5.03110423062289,4.224032991841645
70,40,1.0,4.91901996836775,5.403955628272288,4.316621301594362
70,40,10.0,6.292914807921863,6.459311042634776,5.217222610623742
70,40,100.0,7.3719543211923275,7.530514826782969,6.3532563249494185
70,45,0.0,4.057275660459824,5.010811169257229,3.6303956248252685
70,45,0.01,4.03432897376728,4.838361168391068,4.558096964037448
70,45,0.1,4.490239470463885,4.948234896135502,3.7667781606021884
70,45,1.0,4.799518850184931,5.357222076041686,4.113640279047222
70,45,10.0,6.152419610264195,6.306325871194107,5.28457553526384
70,45,100.0,7.379108572662619,7.518798353485749,6.3050139438230595
80,30,0.0,4.790503213971466,6.589119170929641,5.314812401735291
80,30,0.01,4.529923180087256,5.563673320900931,4.749550038248003
80,30,0.1,4.827676992987903,5.4417126181034075,4.948483609564634
80,30,1.0,5.441186278535433,6.01944902345528,5.330294263496522
80,30,10.0,6.551032541039843,6.703058886569417,5.807790434563082
80,30,100.0,7.507561615772443,7.590854103906725,6.401697604630836
80,35,0.0,3.9931676447381883,5.2741863682517325,3.811210604501351
80,35,0.01,4.166273687894208,5.014268495977882,4.186114442966009
80,35,0.1,4.295659254047894,4.982694425824543,4.427042713583539
80,35,1.0,5.1793451324088595,5.852104772347045,4.820692713457573
80,35,10.0,6.424899010233891,6.562275067461813,5.5094561968213585
80,35,100.0,7.3541791299984025,7.4750014553180835,6.3025283216742
80,40,0.0,4.286543897193033,5.161954403002904,4.5467524374211
80,40,0.01,3.968752516250878,4.805595117604062,4.078994575070757
80,40,0.1,4.3140192433339415,5.064040152699056,4.439762957736133
80,40,1.0,4.808234927555792,5.548795422945924,4.428923795759803
