num hidden nodes 1,num hidden nodes 2,Train Accuracy,Val Accuracy,Test Accuracy
1,1,0.7529691211401425,0.726890756302521,0.7166666666666667
1,2,0.7565320665083135,0.7100840336134454,0.725
1,4,0.7494061757719715,0.726890756302521,0.725
1,6,0.7541567695961995,0.7100840336134454,0.7166666666666667
2,1,0.7529691211401425,0.726890756302521,0.7166666666666667
2,2,0.7624703087885986,0.7142857142857143,0.725
2,4,0.7375296912114014,0.7100840336134454,0.675
2,6,0.7410926365795725,0.7100840336134454,0.6916666666666667
4,1,0.8467933491686461,0.7941176470588235,0.8416666666666667
4,2,0.7672209026128266,0.7563025210084033,0.75
4,4,0.7969121140142518,0.7394957983193278,0.7583333333333333
4,6,0.7553444180522565,0.7100840336134454,0.7166666666666667
6,1,0.7707838479809976,0.7310924369747899,0.725
6,2,0.7850356294536817,0.7352941176470589,0.7583333333333333
6,4,0.8242280285035629,0.7857142857142857,0.8
6,6,0.7636579572446556,0.7058823529411765,0.7166666666666667
