gamma,C,Train Accuracy,Val Accuracy,Test Accuracy
100.0,0.01,0.5118764845605701,0.4789915966386555,0.48333333333333334
100.0,0.1,0.5118764845605701,0.4789915966386555,0.48333333333333334
100.0,1.0,1.0,0.5882352941176471,0.65
100.0,5.0,1.0,0.5966386554621849,0.6583333333333333
100.0,10.0,1.0,0.5966386554621849,0.6583333333333333
10.0,0.01,0.5118764845605701,0.4789915966386555,0.48333333333333334
10.0,0.1,0.5118764845605701,0.4789915966386555,0.48333333333333334
10.0,1.0,1.0,0.8739495798319328,0.95
10.0,5.0,1.0,0.8823529411764706,0.95
10.0,10.0,1.0,0.8823529411764706,0.95
1.0,0.01,0.5118764845605701,0.4789915966386555,0.48333333333333334
1.0,0.1,1.0,0.957983193277311,0.9916666666666667
1.0,1.0,1.0,1.0,1.0
1.0,5.0,1.0,1.0,1.0
1.0,10.0,1.0,1.0,1.0
0.1,0.01,0.5118764845605701,0.4789915966386555,0.48333333333333334
0.1,0.1,0.997624703087886,1.0,1.0
0.1,1.0,1.0,1.0,1.0
0.1,5.0,1.0,1.0,1.0
0.1,10.0,1.0,1.0,1.0
0.01,0.01,0.8016627078384798,0.7521008403361344,0.7583333333333333
0.01,0.1,0.9691211401425178,0.9369747899159664,0.95
0.01,1.0,0.9928741092636579,0.9789915966386554,1.0
0.01,5.0,0.995249406175772,0.9873949579831933,1.0
0.01,10.0,0.996437054631829,1.0,1.0
