num hidden nodes 1,num hidden nodes 2,Train Accuracy,Val Accuracy,Test Accuracy
40,40,0.6617142857142857,0.599,0.556
40,60,0.678,0.608,0.572
40,80,0.6668571428571428,0.605,0.556
40,100,0.6677142857142857,0.606,0.562
60,40,0.6988571428571428,0.605,0.56
60,60,0.6877142857142857,0.619,0.58
60,80,0.6782857142857143,0.607,0.564
60,100,0.6974285714285714,0.61,0.576
80,40,0.6831428571428572,0.614,0.57
80,60,0.6857142857142857,0.609,0.568
80,80,0.6874285714285714,0.605,0.578
80,100,0.6902857142857143,0.617,0.566
100,40,0.7014285714285714,0.612,0.58
100,60,0.6982857142857143,0.605,0.572
100,80,0.7111428571428572,0.613,0.576
100,100,0.7,0.616,0.58
