dim,num hidden nodes 1,num hidden nodes 2,Train Accuracy,Val Accuracy,Test Accuracy
67,40,40,0.6422857142857142,0.346,0.302
67,40,60,0.6431428571428571,0.345,0.3
67,40,80,0.6362857142857142,0.35,0.314
67,60,40,0.6348571428571429,0.35,0.32
67,80,40,0.6405714285714286,0.35,0.306
69,40,40,0.6388571428571429,0.348,0.31
69,40,60,0.6388571428571429,0.349,0.298
69,40,80,0.6388571428571429,0.348,0.304
69,60,40,0.6411428571428571,0.349,0.314
69,80,40,0.6377142857142857,0.355,0.31
71,40,40,0.6374285714285715,0.347,0.306
71,40,60,0.6374285714285715,0.352,0.318
71,40,80,0.6314285714285715,0.35,0.314
71,60,40,0.6345714285714286,0.347,0.312
71,80,40,0.6354285714285715,0.355,0.304
