num hidden nodes 1,num hidden nodes 2,Train Accuracy,Val Accuracy,Test Accuracy
40,40,0.6388571428571429,0.599,0.546
40,60,0.646,0.589,0.542
40,80,0.6425714285714286,0.591,0.55
40,100,0.6405714285714286,0.592,0.538
60,40,0.642,0.589,0.544
60,60,0.6377142857142857,0.585,0.552
60,80,0.6465714285714286,0.591,0.544
60,100,0.642,0.59,0.548
80,40,0.6414285714285715,0.587,0.544
80,60,0.6382857142857142,0.591,0.546
80,80,0.6437142857142857,0.584,0.544
80,100,0.6442857142857142,0.592,0.54
100,40,0.6422857142857142,0.588,0.542
100,60,0.6385714285714286,0.587,0.542
100,80,0.6397142857142857,0.588,0.546
100,100,0.6411428571428571,0.587,0.542
