gamma,C,Train Accuracy,Val Accuracy,Test Accuracy
50.0,0.01,1.0,0.205,0.206
50.0,0.1,1.0,0.205,0.206
50.0,1.0,1.0,0.27,0.258
50.0,10.0,1.0,0.287,0.27
10.0,0.01,0.7885714285714286,0.434,0.4
10.0,0.1,0.7885714285714286,0.434,0.4
10.0,1.0,0.9991428571428571,0.625,0.6
10.0,10.0,1.0,0.63,0.602
1.0,0.01,0.5534285714285714,0.548,0.502
1.0,0.1,0.6197142857142857,0.585,0.528
1.0,1.0,0.7205714285714285,0.622,0.588
1.0,10.0,0.948,0.624,0.602
0.1,0.01,0.5402857142857143,0.523,0.492
0.1,0.1,0.5468571428571428,0.526,0.496
0.1,1.0,0.6165714285714285,0.593,0.536
0.1,10.0,0.6557142857142857,0.592,0.564
0.05,0.01,0.5422857142857143,0.526,0.49
0.05,0.1,0.5442857142857143,0.526,0.49
0.05,1.0,0.5982857142857143,0.575,0.52
0.05,10.0,0.6385714285714286,0.593,0.55
